timestamp;range_ok;range_mes;first_peak_pwr;rx_pwr;cir_layout;cir;max_noise;std_noise
1623423023124451751;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[514, 1531, 1493, 403];[-85142, -85598, -91436, -81531];[-79866, -82436, -85180, -78900];[];[];[436, 343, 360, 959];[24, 20, 24, 40]
1623423023175475300;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[513, 1535, 1490, 404];[-85281, -85185, -90976, -81925];[-80080, -82413, -84888, -79162];[];[];[500, 362, 360, 1001];[28, 20, 24, 44]
1623423023224220880;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[514, 1534, 1489, 401];[-86062, -85887, -91282, -81114];[-79744, -82857, -84918, -78837];[];[];[501, 405, 360, 990];[28, 24, 24, 40]
1623423023274161661;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[515, 1534, 1490, 403];[-85875, -85388, -91341, -81191];[-79778, -82436, -84818, -78862];[];[];[502, 344, 363, 1129];[28, 20, 24, 44]
1623423023325157039;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[512, 1534, 1492, 403];[-86232, -85623, -92005, -81891];[-80007, -82714, -85148, -79082];[];[];[434, 346, 413, 1047];[24, 20, 28, 44]
1623423023374171287;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[514, 1533, 1487, 403];[-85759, -85094, -91700, -81909];[-80073, -82379, -84990, -79189];[];[];[476, 432, 417, 911];[28, 24, 28, 40]
1623423023424119364;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[512, 1535, 1493, 401];[-85727, -85902, -92062, -81137];[-80070, -82763, -84634, -78837];[];[];[473, 342, 360, 1088];[28, 20, 24, 44]
1623423023475264469;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[511, 1531, 1493, 403];[-86293, -85106, -93138, -81077];[-80352, -82612, -85300, -78627];[];[];[411, 367, 419, 993];[24, 20, 28, 40]
1623423023524239945;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[513, 1536, 1490, 403];[-85476, -85594, -93391, -81001];[-79837, -82666, -85563, -78587];[];[];[502, 344, 360, 1086];[28, 20, 24, 44]
1623423023574189314;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[514, 1532, 1489, 403];[-86477, -85768, -92585, -81215];[-80195, -82819, -85622, -78683];[];[];[475, 340, 308, 1136];[28, 20, 20, 44]
1623423023625123279;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[514, 1534, 1494, 404];[-86490, -85381, -93100, -81638];[-80209, -82782, -85574, -78998];[];[];[418, 470, 417, 1133];[28, 28, 28, 48]
1623423023675175488;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[517, 1534, 1494, 400];[-85328, -85174, -92902, -81314];[-80004, -82570, -85446, -78951];[];[];[504, 428, 363, 1178];[28, 24, 24, 48]
